in s,C1 in V,C2 in V,ARB0
-5.175224E-04,1.46484E-02,-9.76562E-03,6.1817395E-06
-5.175200E-04,1.46484E-02,-9.76562E-03,6.1817395E-06
-5.175176E-04,4.88281E-03,2.92969E-02,6.1817395E-06
-5.175152E-04,-1.46484E-02,-4.88281E-02,6.1817395E-06
-5.175128E-04,-4.88281E-03,-4.88281E-02,6.1817395E-06
-5.175104E-04,4.88281E-03,9.76562E-03,6.1817395E-06
-5.175080E-04,-1.46484E-02,-9.76562E-03,6.1817395E-06
-5.175056E-04,-4.88281E-03,-9.76562E-03,6.1817395E-06
-5.175032E-04,4.88281E-03,-6.83594E-02,6.1817395E-06
-5.175008E-04,3.41797E-02,-6.83594E-02,6.1817395E-06
-5.174984E-04,-1.46484E-02,-2.92969E-02,6.1817395E-06
-5.174960E-04,1.46484E-02,-2.92969E-02,6.1817395E-06
-5.174936E-04,-4.88281E-03,6.83594E-02,6.1817395E-06
-5.174912E-04,1.46484E-02,9.76562E-03,6.1817395E-06
-5.174888E-04,-4.88281E-03,9.76562E-03,6.1817395E-06
-5.174864E-04,-4.88281E-03,-2.92969E-02,6.1817395E-06
-5.174840E-04,4.88281E-03,-4.88281E-02,6.1817395E-06
-5.174816E-04,2.44141E-02,-2.92969E-02,6.1817395E-06
-5.174792E-04,1.46484E-02,-6.83594E-02,6.1817395E-06
-5.174768E-04,-4.88281E-03,-2.92969E-02,6.1817395E-06
-5.174744E-04,-2.44141E-02,4.88281E-02,6.1817395E-06
-5.174720E-04,-4.88281E-03,4.88281E-02,6.1817395E-06
-5.174696E-04,-4.88281E-03,-4.88281E-02,6.1817395E-06
-5.174672E-04,4.88281E-03,2.92969E-02,6.1817395E-06
-5.174648E-04,4.88281E-03,-6.83594E-02,6.1817395E-06
-5.174624E-04,2.44141E-02,-9.76562E-03,6.1817395E-06
-5.174600E-04,-4.88281E-03,-6.83594E-02,6.1817395E-06
-5.174576E-04,-2.44141E-02,4.88281E-02,6.1817395E-06
-5.174552E-04,-4.88281E-03,9.76562E-03,6.1817395E-06
-5.174528E-04,-1.46484E-02,-2.92969E-02,6.1817395E-06
-5.174504E-04,2.44141E-02,-9.76562E-03,6.1817395E-06
-5.174480E-04,-4.88281E-03,-9.76562E-03,6.1817395E-06
-5.174456E-04,1.46484E-02,-4.88281E-02,6.1817395E-06
-5.174432E-04,1.46484E-02,-4.88281E-02,6.1817395E-06
-5.174408E-04,3.41797E-02,4.88281E-02,6.1817395E-06
-5.174384E-04,1.46484E-02,-1.26953E-01,6.1817395E-06
-5.174360E-04,-2.44141E-02,9.76562E-03,6.1817395E-06
-5.174336E-04,1.46484E-02,9.76562E-03,6.1817395E-06
-5.174312E-04,4.88281E-03,-4.88281E-02,6.1817395E-06
-5.174288E-04,-1.46484E-02,-2.92969E-02,6.1817395E-06
-5.174264E-04,2.44141E-02,-2.92969E-02,6.1817395E-06
-5.174240E-04,4.88281E-03,-4.88281E-02,6.1817395E-06
-5.174216E-04,4.88281E-03,-4.88281E-02,6.1817395E-06
-5.174192E-04,-2.44141E-02,4.88281E-02,6.1817395E-06
-5.174168E-04,2.44141E-02,9.76562E-03,6.1817395E-06
-5.174144E-04,-4.88281E-03,-9.76562E-03,6.1817395E-06
-5.174120E-04,1.46484E-02,-9.76562E-03,6.1817395E-06
-5.174096E-04,-4.88281E-03,-9.76562E-03,6.1817395E-06
-5.174072E-04,-1.46484E-02,9.76562E-03,6.1817395E-06
-5.174048E-04,-3.41797E-02,-9.76562E-03,6.1817395E-06
-5.174024E-04,-4.88281E-03,2.92969E-02,6.1817395E-06
-5.174000E-04,1.46484E-02,2.92969E-02,6.1817395E-06
-5.173976E-04,3.41797E-02,9.76562E-03,6.1817395E-06
-5.173952E-04,4.88281E-03,9.76562E-03,6.1817395E-06
-5.173928E-04,1.46484E-02,2.92969E-02,6.1817395E-06
-5.173904E-04,1.46484E-02,-9.76562E-03,6.1817395E-06
-5.173880E-04,-4.88281E-03,-4.88281E-02,6.1817395E-06
-5.173856E-04,2.44141E-02,2.92969E-02,6.1817395E-06
-5.173832E-04,-4.88281E-03,-9.76562E-03,6.1817395E-06
-5.173808E-04,2.44141E-02,-9.76562E-03,6.1817395E-06
-5.173784E-04,4.88281E-03,9.76562E-03,6.1817395E-06
-5.173760E-04,-1.46484E-02,-9.76562E-03,6.1817395E-06
-5.173736E-04,-1.46484E-02,9.76562E-03,6.1817395E-06
-5.173712E-04,4.88281E-03,4.88281E-02,6.1817395E-06
-5.173688E-04,4.88281E-03,9.76562E-03,6.1817395E-06
-5.173664E-04,-4.88281E-03,-9.76562E-03,6.1817395E-06
-5.173640E-04,2.44141E-02,-9.76562E-03,6.1817395E-06
-5.173616E-04,-4.88281E-03,6.83594E-02,6.1817395E-06
