time_s,vin
1.537520000000000146e-05,2.893790000000000084e+00
1.537599999999999983e-05,2.893790000000000084e+00
1.537680000000000158e-05,2.854729999999999990e+00
1.537759999999999995e-05,2.903550000000000075e+00
1.537839999999999832e-05,2.874260000000000037e+00
1.537920000000000007e-05,2.913320000000000132e+00
1.537999999999999844e-05,2.884020000000000028e+00
1.538080000000000019e-05,2.893790000000000084e+00
1.538159999999999856e-05,2.874260000000000037e+00
1.538240000000000031e-05,2.913320000000000132e+00
1.538319999999999868e-05,2.893790000000000084e+00
1.538400000000000043e-05,2.932850000000000179e+00
1.538479999999999880e-05,2.874260000000000037e+00
1.538560000000000055e-05,2.903550000000000075e+00
1.538639999999999892e-05,2.903550000000000075e+00
1.538720000000000067e-05,2.913320000000000132e+00
1.538799999999999904e-05,2.893790000000000084e+00
1.538880000000000079e-05,2.903550000000000075e+00
1.538959999999999916e-05,2.874260000000000037e+00
1.539040000000000091e-05,2.903550000000000075e+00
1.539119999999999928e-05,2.874260000000000037e+00
1.539200000000000103e-05,2.913320000000000132e+00
1.539279999999999940e-05,2.874260000000000037e+00
1.539360000000000115e-05,2.893790000000000084e+00
1.539439999999999952e-05,2.874260000000000037e+00
1.539520000000000127e-05,2.923090000000000188e+00
1.539599999999999964e-05,2.874260000000000037e+00
1.539680000000000139e-05,2.923090000000000188e+00
1.539759999999999976e-05,2.864489999999999981e+00
1.539840000000000151e-05,2.913320000000000132e+00
1.539919999999999988e-05,2.893790000000000084e+00
1.540000000000000163e-05,2.913320000000000132e+00
1.540080000000000000e-05,2.874260000000000037e+00
1.540159999999999836e-05,2.913320000000000132e+00
1.540240000000000012e-05,2.874260000000000037e+00
1.540319999999999848e-05,2.903550000000000075e+00
1.540400000000000024e-05,2.874260000000000037e+00
1.540479999999999860e-05,2.913320000000000132e+00
1.540560000000000036e-05,2.874260000000000037e+00
1.540639999999999873e-05,2.932850000000000179e+00
1.540720000000000048e-05,2.884020000000000028e+00
1.540799999999999885e-05,2.942619999999999791e+00
1.540880000000000060e-05,2.884020000000000028e+00
1.540959999999999897e-05,2.903550000000000075e+00
1.541040000000000072e-05,2.874260000000000037e+00
1.541119999999999909e-05,2.942619999999999791e+00
1.541200000000000084e-05,2.893790000000000084e+00
1.541279999999999921e-05,2.913320000000000132e+00
1.541360000000000096e-05,2.884020000000000028e+00
1.541439999999999933e-05,2.893790000000000084e+00
1.541520000000000108e-05,2.884020000000000028e+00
1.541599999999999945e-05,2.923090000000000188e+00
1.541680000000000120e-05,2.874260000000000037e+00
1.541759999999999957e-05,2.903550000000000075e+00
1.541840000000000132e-05,2.893790000000000084e+00
1.541919999999999969e-05,2.903550000000000075e+00
1.542000000000000144e-05,2.903550000000000075e+00
1.542079999999999981e-05,2.942619999999999791e+00
1.542160000000000156e-05,2.844959999999999933e+00
1.542239999999999993e-05,2.923090000000000188e+00
1.542320000000000168e-05,2.874260000000000037e+00
1.542400000000000005e-05,2.903550000000000075e+00
1.542479999999999841e-05,2.903550000000000075e+00
1.542560000000000017e-05,2.903550000000000075e+00
1.542639999999999853e-05,2.874260000000000037e+00
1.542720000000000029e-05,2.893790000000000084e+00
1.542799999999999865e-05,2.884020000000000028e+00
1.542880000000000041e-05,2.923090000000000188e+00
1.542959999999999877e-05,2.884020000000000028e+00
1.543040000000000053e-05,2.913320000000000132e+00
1.543119999999999889e-05,2.874260000000000037e+00
1.543200000000000065e-05,2.913320000000000132e+00
1.543279999999999901e-05,2.884020000000000028e+00
1.543360000000000077e-05,2.903550000000000075e+00
1.543439999999999913e-05,2.874260000000000037e+00
1.543520000000000089e-05,2.903550000000000075e+00
1.543599999999999925e-05,2.874260000000000037e+00
1.543680000000000101e-05,2.932850000000000179e+00
1.543759999999999938e-05,2.893790000000000084e+00
1.543840000000000113e-05,2.913320000000000132e+00
1.543919999999999950e-05,2.884020000000000028e+00
1.544000000000000125e-05,2.923090000000000188e+00
1.544079999999999962e-05,2.903550000000000075e+00
1.544160000000000137e-05,2.913320000000000132e+00
1.544239999999999974e-05,2.893790000000000084e+00
1.544320000000000149e-05,2.913320000000000132e+00
1.544399999999999986e-05,2.884020000000000028e+00
1.544480000000000161e-05,2.903550000000000075e+00
