time_s,h
4.617680000000347091e-05,-3.210455195506950986e-03
4.617760000000347266e-05,-4.957484743614798926e-03
4.617840000000346764e-05,1.268027374226554649e-02
4.617920000000346939e-05,6.516491575796635322e-03
4.618000000000347115e-05,-9.195807879329621556e-03
4.618080000000346613e-05,-2.737618158106524049e-02
4.618160000000346788e-05,-2.146812942215600012e-02
4.618240000000346963e-05,6.163365113280422011e-03
4.618320000000347139e-05,3.828849792673639021e-03
4.618400000000347314e-05,-5.640631017499279920e-03
4.618480000000346812e-05,1.290858170415962354e-02
4.618560000000346987e-05,4.830427411948555981e-03
4.618640000000347163e-05,2.872646943579923104e-02
4.618720000000346661e-05,2.509580221194325500e-02
4.618800000000346836e-05,2.353642621453225225e-02
4.618880000000347011e-05,-9.296849125819748108e-03
4.618960000000347187e-05,-2.729579198454460537e-03
4.619040000000347362e-05,-1.656654779264442713e-03
4.619120000000346860e-05,-6.718856493617123352e-03
4.619200000000347036e-05,-6.216232931878295370e-03
4.619280000000347211e-05,-1.623126575836547278e-02
4.619360000000346709e-05,1.128435811487831994e-02
4.619440000000346884e-05,1.721172189408700780e-04
4.619520000000347060e-05,1.165942741536155070e-02
4.619600000000347235e-05,-1.018213265436333261e-02
4.619680000000347410e-05,-8.943054010087448866e-03
4.619760000000346908e-05,2.018050416585715628e-02
4.619840000000347084e-05,-2.028620610157682788e-02
4.619920000000347259e-05,-3.956363529889584535e-03
4.620000000000346757e-05,-1.651433609523883864e-02
4.620080000000346932e-05,-7.206201928351221170e-03
4.620160000000347108e-05,1.566630659894545537e-03
4.620240000000347283e-05,3.261850870352763550e-03
4.620320000000347458e-05,-9.062853403142881112e-03
4.620400000000346956e-05,5.765465886509231475e-03
4.620480000000347132e-05,9.086375168458289198e-05
4.620560000000347307e-05,-6.453504075388291194e-04
4.620640000000346805e-05,-1.651217561793061686e-02
4.620720000000346980e-05,-1.075254910648234911e-02
4.620800000000347156e-05,8.683791369306160038e-03
4.620880000000347331e-05,-9.568573155181387194e-03
4.620960000000347507e-05,-1.110439905957917930e-02
4.621040000000347004e-05,-1.381438997479382536e-02
4.621120000000347180e-05,-2.829822516466771760e-03
4.621200000000347355e-05,-2.483909829254125835e-04
4.621280000000346853e-05,1.403876964714564739e-02
4.621360000000347028e-05,1.350153307094018561e-02
4.621440000000347204e-05,-1.378248307358498695e-02
4.621520000000347379e-05,-3.049045752769471550e-03
4.621600000000347555e-05,-1.127772014387016207e-02
4.621680000000347052e-05,-1.221775411718439494e-02
4.621760000000347228e-05,-4.428562899627160564e-03
4.621840000000347403e-05,1.173901820753666704e-02
4.621920000000346901e-05,2.648952027402457290e-02
4.622000000000347076e-05,-1.099132059682031079e-02
4.622080000000347252e-05,3.158875653333318573e-02
4.622160000000347427e-05,2.657703661079430322e-03
4.622240000000347603e-05,-3.870937105184278030e-03
4.622320000000347101e-05,-3.123961351192613371e-03
4.622400000000347276e-05,-3.713073618436187572e-03
4.622480000000347451e-05,8.470303192754930280e-03
4.622560000000346949e-05,-1.082189188514216110e-02
4.622640000000347125e-05,-3.538994658372014018e-02
4.622720000000347300e-05,6.784856158694081013e-03
4.622800000000347475e-05,-2.946075560928066838e-03
4.622880000000347651e-05,1.057718509056863529e-02
4.622960000000347149e-05,1.970509280990845324e-02
4.623040000000347324e-05,-1.251975428069818314e-03
4.623120000000347499e-05,7.492169221175739094e-03
4.623200000000346997e-05,4.824667009848761061e-03
4.623280000000347173e-05,9.603528618671018993e-03
4.623360000000347348e-05,-4.125490843159823097e-03
4.623440000000347523e-05,4.414152498687362418e-03
4.623520000000347699e-05,1.154381098367193367e-02
4.623600000000347197e-05,-2.112058468219854806e-03
4.623680000000347372e-05,-6.188811464760485964e-03
4.623760000000347548e-05,-8.966976972445819816e-03
4.623840000000347045e-05,-4.025931643371930338e-03
4.623920000000347221e-05,4.616708388098084669e-03
4.624000000000347396e-05,-6.276836221083290611e-03
4.624080000000347572e-05,-1.504649437493758152e-02
4.624160000000347747e-05,1.336036232399765095e-03
4.624240000000347245e-05,-1.065800748930343864e-02
4.624320000000347420e-05,5.219463875659188096e-03
4.624400000000347596e-05,-4.384940846873025197e-03
4.624480000000347093e-05,-9.507751938059090524e-03
4.624560000000347269e-05,-2.122380513349788125e-02
4.624640000000347444e-05,9.940290308044196985e-03
4.624720000000347620e-05,-1.730199671425879798e-02
4.624800000000347795e-05,1.187495764123316228e-02
4.624880000000347293e-05,1.280991394335073480e-03
4.624960000000347468e-05,9.785333875311205687e-03
4.625040000000347644e-05,-5.949989541159352718e-03
4.625120000000347141e-05,1.502353367797235571e-02
4.625200000000347317e-05,2.035204806413406196e-03
4.625280000000347492e-05,-2.381875736362796050e-02
4.625360000000347668e-05,1.478336571190658200e-02
4.625440000000347843e-05,1.165689418040238845e-02
4.625520000000347341e-05,-4.704525733622066941e-03
4.625600000000347516e-05,-6.397605486787904042e-03
4.625680000000347692e-05,1.875960067931765549e-02
4.625760000000347190e-05,-1.083913100643602544e-02
4.625840000000347365e-05,1.407965474231994037e-02
4.625920000000347540e-05,-7.938540495664341608e-04
4.626000000000347716e-05,2.763077007040856681e-02
4.626080000000347891e-05,-1.861195883348003852e-03
4.626160000000347389e-05,-7.912013639434679543e-03
4.626240000000347564e-05,-1.627455492871082710e-02
4.626320000000347740e-05,3.871408695559225462e-03
4.626400000000347238e-05,-2.586112867783672137e-02
4.626480000000347413e-05,-1.549882679396857692e-02
4.626560000000347588e-05,1.228849527070601834e-02
4.626640000000347764e-05,-3.833667946747736869e-03
4.626720000000347939e-05,-6.063084354875888926e-03
4.626800000000347437e-05,8.631037439053364235e-03
4.626880000000347613e-05,-1.392155240550675341e-02
4.626960000000347788e-05,-2.769706996163785392e-02
4.627040000000347286e-05,4.642286953258617684e-03
4.627120000000347461e-05,2.213107733315840958e-03
4.627200000000347637e-05,-3.269703113801253249e-03
4.627280000000347812e-05,2.368729619641019371e-02
4.627360000000347987e-05,-8.595568344959801654e-03
4.627440000000347485e-05,1.946004067786464078e-02
4.627520000000347661e-05,4.084141877782492859e-03
4.627600000000347836e-05,1.072218844924717474e-02
4.627680000000347334e-05,7.796763258233582045e-03
4.627760000000347509e-05,-8.301721053010024942e-03
4.627840000000347685e-05,-1.631107835195738870e-03
4.627920000000347860e-05,6.512824559737860619e-03
4.628000000000348035e-05,3.924768955051161773e-03
